Country,Outcome,Coverage,Mediator,Diet-attributable increase,GLP-1 reduction,Offset ratio
ISR,ICH,20%,LDL,0.0,0.0254,0.0
ISR,IHD,20%,SBP,1.4627,1.02,0.697
ISR,IHD,20%,FPG,0.0443,0.0874,1.0
ISR,IHD,20%,LDL,0.1667,0.0254,0.153
ISR,IschStroke,20%,SBP,0.944,1.02,1.0
ISR,IschStroke,20%,FPG,0.2006,0.0874,0.436
ISR,IschStroke,20%,LDL,0.01,0.0254,1.0
ISR,SAH,20%,SBP,1.1756,1.02,0.868
ISR,SAH,20%,FPG,0.0,0.0874,0.0
ISR,SAH,20%,LDL,0.0,0.0254,0.0
ISR,T2D,20%,SBP,0.0,0.0,0.0
ISR,T2D,20%,FPG,0.0,0.0,0.146
ISR,T2D,20%,LDL,0.0,0.0,0.0
JPN,CKD,20%,SBP,0.0,0.0,0.071
JPN,CKD,20%,FPG,0.0,0.0,0.048
JPN,CKD,20%,LDL,0.0,0.0,0.0
JPN,ICH,20%,SBP,2.519,1.02,0.405
JPN,ICH,20%,FPG,0.0007,0.0874,1.0
JPN,ICH,20%,LDL,0.0,0.0268,0.0
JPN,IHD,20%,SBP,3.2807,1.02,0.311
JPN,IHD,20%,FPG,0.0646,0.0874,1.0
JPN,IHD,20%,LDL,0.3198,0.0268,0.084
JPN,IschStroke,20%,SBP,2.2449,1.02,0.454
JPN,IschStroke,20%,FPG,0.2419,0.0874,0.361
JPN,IschStroke,20%,LDL,0.0155,0.0268,1.0
JPN,SAH,20%,SBP,2.3868,1.02,0.427
JPN,SAH,20%,FPG,0.0,0.0874,0.0
JPN,SAH,20%,LDL,0.0,0.0268,0.0
JPN,T2D,20%,SBP,0.0,0.0,0.0
JPN,T2D,20%,FPG,0.0,0.0,0.146
JPN,T2D,20%,LDL,0.0,0.0,0.0
MEX,CKD,20%,SBP,0.0,0.0,0.082
MEX,CKD,20%,FPG,0.0,0.0,0.048
MEX,CKD,20%,LDL,0.0,0.0,0.0
MEX,ICH,20%,SBP,1.5654,1.02,0.652
MEX,ICH,20%,FPG,0.0241,0.0874,1.0
MEX,ICH,20%,LDL,0.0,0.027,0.0
MEX,IHD,20%,SBP,1.9846,1.02,0.514
MEX,IHD,20%,FPG,0.0811,0.0874,1.0
MEX,IHD,20%,LDL,0.1685,0.027,0.16
