iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
ROU,IHD,fruits,Female,90-94 years,0.0164447036373055,76.935369978412,10.514695708496248,213.1115573287322,部分汇流-结构小部可及,0.13
ROU,IHD,fruits,Female,95+ years,0.0165187854017601,24.44288860717608,3.405615332178061,68.82945630014208,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,25-29 years,0.1370328151410019,0.1850151809561548,0.0433552567497147,0.3417189633702885,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,30-34 years,0.1321439935792181,0.7777666795582509,0.1806729551260757,1.3795719002497129,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,35-39 years,0.1261534670250776,1.43385367445619,0.3721812643603559,2.660368233689298,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,40-44 years,0.1128848416182737,3.217527136169311,0.7975927166808299,5.803755646485142,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,45-49 years,0.0921115005623051,4.922946332341505,1.0846679035031623,9.304195163653176,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,50-54 years,0.0724554980554298,7.396201866697166,1.4847684043899554,14.267636235632594,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,55-59 years,0.0540780461708713,7.37614406264604,1.3905788049204175,15.125906389687742,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,60-64 years,0.0422154089476358,7.982980223515756,1.3035657853770126,16.873804497023954,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,65-69 years,0.0369052526194422,9.522248261187212,1.6287028054018975,20.261814687725423,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,70-74 years,0.033024345585426,14.534498195572926,2.4143970982114533,31.09286231438047,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,75-79 years,0.031223469627251,21.16668526151549,3.678982611883815,45.4986234693042,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,80-84 years,0.0316659802095476,34.3103083153871,6.175309764919453,73.59799425283961,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,85-89 years,0.0318828697029808,58.5118516912939,10.705261965089647,125.67013442046778,部分汇流-结构小部可及,0.13
AUS,IHD,fruits,Female,90-94 years,0.0319038980472798,77.07601625311716,14.31093679943378,166.80711490567242,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,25-29 years,0.0850531505139158,0.3245635791687351,0.0696089800931763,0.7108270999039122,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,30-34 years,0.0799138683772588,0.8111456294851177,0.1580093908761226,1.5978024841655605,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,35-39 years,0.0828498613496856,1.9914749275555503,0.4943934531667085,4.005607070284194,部分汇流-结构小部可及,0.13
