outcome,iso3,coverage,PAF_diet,share_reach,flow_available,pif_med_pop,pif_resid_pop,averted_med_raw,averted_med_samebase,spillover_nondiet,averted_resid_samebase,flow_ratio
IHD,TUR,0.5,0.28321566282106514,0.10755160838421483,True,0.02557650508816888,0.05192805578507015,0.09030752336719472,0.09030752336719472,0.0,0.18335163835157714,0.8396668792212038
IHD,USA,0.05,0.38538572273363614,0.07520088400975293,True,0.002334313967251471,0.0047393647213893495,0.00605708470644321,0.00605708470644321,0.0,0.01229771743429379,0.08054539233418662
IHD,USA,0.1,0.38538572273363614,0.07520088400975293,True,0.004668627934502942,0.009478729442778699,0.01211416941288642,0.01211416941288642,0.0,0.02459543486858758,0.16109078466837323
IHD,USA,0.2,0.38538572273363614,0.07520088400975293,True,0.009337255869005884,0.018957458885557398,0.02422833882577284,0.02422833882577284,0.0,0.04919086973717516,0.32218156933674647
IHD,USA,0.5,0.38538572273363614,0.07520088400975293,True,0.02334313967251471,0.04739364721389349,0.0605708470644321,0.0605708470644321,0.0,0.12297717434293788,0.8054539233418662
IHD,ZAF,0.05,0.4748834841478313,0.024478252389311488,True,0.0019261090305188878,0.003910585001356529,0.004055961293274394,0.004055961293274394,0.0,0.008234830504526797,0.16569652231567983
IHD,ZAF,0.1,0.4748834841478313,0.024478252389311488,True,0.0038522180610377757,0.007821170002713058,0.008111922586548788,0.008111922586548788,0.0,0.016469661009053595,0.33139304463135966
IHD,ZAF,0.2,0.4748834841478313,0.024478252389311488,True,0.007704436122075551,0.015642340005426116,0.016223845173097575,0.016223845173097575,0.0,0.03293932201810719,0.6627860892627193
IHD,ZAF,0.5,0.4748834841478313,0.024478252389311488,True,0.019261090305188876,0.039105850013565285,0.040559612932743926,0.024478252389311488,0.016081360543432437,0.08234830504526795,1.0
IschStroke,AUS,0.05,0.06217578739064252,0.40794979079497906,True,0.002202487022747966,0.004471716076488295,0.035423548541653714,0.035423548541653714,0.0,0.07192053794820602,0.08683310873287424
IschStroke,AUS,0.1,0.06217578739064252,0.40794979079497906,True,0.004404974045495932,0.00894343215297659,0.07084709708330743,0.07084709708330743,0.0,0.14384107589641204,0.17366621746574848
IschStroke,AUS,0.2,0.06217578739064252,0.40794979079497906,True,0.008809948090991865,0.01788686430595318,0.14169419416661486,0.14169419416661486,0.0,0.2876821517928241,0.34733243493149696
IschStroke,AUS,0.5,0.06217578739064252,0.40794979079497906,True,0.022024870227479662,0.04471716076488294,0.35423548541653715,0.35423548541653715,0.0,0.7192053794820601,0.8683310873287424
IschStroke,BGD,0.05,0.17279687819123132,0.26913834534843806,True,0.0008047451952490113,0.0016338766085358715,0.004657174386903065,0.004657174386903065,0.0,0.00945547527037895,0.017304016567664067
IschStroke,BGD,0.1,0.17279687819123132,0.26913834534843806,True,0.0016094903904980227,0.003267753217071743,0.00931434877380613,0.00931434877380613,0.0,0.0189109505407579,0.034608033135328134
IschStroke,BGD,0.2,0.17279687819123132,0.26913834534843806,True,0.0032189807809960454,0.006535506434143486,0.01862869754761226,0.01862869754761226,0.0,0.0378219010815158,0.06921606627065627
IschStroke,BGD,0.5,0.17279687819123132,0.26913834534843806,True,0.008047451952490113,0.01633876608535871,0.04657174386903065,0.04657174386903065,0.0,0.09455475270378948,0.17304016567664066
IschStroke,BGR,0.05,0.1908535198092092,0.8194945848375451,True,0.001987098578107962,0.004034412264643438,0.0104116422903513,0.0104116422903513,0.0,0.021138788892531426,0.012704955570164362
IschStroke,BGR,0.1,0.1908535198092092,0.8194945848375451,True,0.003974197156215924,0.008068824529286875,0.0208232845807026,0.0208232845807026,0.0,0.04227757778506285,0.025409911140328725
IschStroke,BGR,0.2,0.1908535198092092,0.8194945848375451,True,0.007948394312431849,0.01613764905857375,0.0416465691614052,0.0416465691614052,0.0,0.0845551555701257,0.05081982228065745
IschStroke,BGR,0.5,0.1908535198092092,0.8194945848375451,True,0.01987098578107962,0.040344122646434374,0.10411642290351299,0.10411642290351299,0.0,0.21138788892531424,0.1270495557016436
IschStroke,BRA,0.05,0.12635426684681525,0.5254442649434572,True,0.0020911913652316796,0.004245752165773409,0.01655022356915672,0.01655022356915672,0.0,0.03360196906465152,0.03149758151977866
