iso3,arm,coverage,med,yr
GBR,diet,0.20,34.697073056964655,2
GBR,diet,0.50,34.697073056964655,2
GBR,diet,afford,34.697073056964655,2
GBR,glp1,0.20,2007.1232464392835,2
GBR,glp1,0.50,5017.228444518195,2
GBR,glp1,afford,10032.524650436311,2
GLB,combo,0.20,123682.19076533963,2
GLB,combo,0.50,300534.08617695747,2
GLB,combo,afford,595239.4447306781,2
GLB,diet,0.20,5768.977041188395,2
GLB,diet,0.50,5768.977041188395,2
GLB,diet,afford,5768.977041188395,2
GLB,glp1,0.20,117967.46821756498,2
GLB,glp1,0.50,294900.35802725167,2
GLB,glp1,afford,589739.6743322881,2
IND,combo,0.20,10284.860130507426,2
IND,combo,0.50,24436.29289488738,2
IND,combo,afford,48019.13069539166,2
IND,diet,0.20,849.8507525539535,2
IND,diet,0.50,849.8507525539535,2
IND,diet,afford,849.8507525539535,2
IND,glp1,0.20,9439.05440585575,2
IND,glp1,0.50,23596.53995189569,2
IND,glp1,afford,47189.42636131597,2
ISR,combo,0.20,118.597484270236,2
ISR,combo,0.50,293.0468310129571,2
ISR,combo,afford,583.6833798297954,2
ISR,diet,0.20,2.2698291698307003,2
ISR,diet,0.50,2.2698291698307003,2
ISR,diet,afford,2.2698291698307003,2
ISR,glp1,0.20,116.3662500311641,2
ISR,glp1,0.50,290.8729998654261,2
ISR,glp1,afford,581.6039156892421,2
JPN,combo,0.20,1821.3683228098237,2
JPN,combo,0.50,4439.146492901342,2
JPN,combo,afford,8801.488145200146,2
JPN,diet,0.20,76.02738495206722,2
JPN,diet,0.50,76.02738495206722,2
JPN,diet,afford,76.02738495206722,2
JPN,glp1,0.20,1745.9171044521609,2
JPN,glp1,0.50,4364.556284066763,2
JPN,glp1,afford,8728.324311254699,2
MEX,combo,0.20,2828.7137582082305,2
MEX,combo,0.50,7035.240791096039,2
MEX,combo,afford,14046.383976928912,2
MEX,diet,0.20,24.42860237132481,2
MEX,diet,0.50,24.42860237132481,2
MEX,diet,afford,24.42860237132481,2
MEX,glp1,0.20,2804.72131296145,2
MEX,glp1,0.50,7011.897057924583,2
MEX,glp1,afford,14024.106700918896,2
NGA,combo,0.20,1356.0874195622655,2
NGA,combo,0.50,3378.625687032707,2
NGA,combo,afford,2704.428087718905,2
NGA,diet,0.20,7.819458700167161,2
NGA,diet,0.50,7.819458700167161,2
NGA,diet,afford,7.819458700167161,2
NGA,glp1,0.20,1348.349238239383,2
NGA,glp1,0.50,3371.0087694729973,2
NGA,glp1,afford,2696.7708358785385,2
NZL,combo,0.20,149.8106834561455,2
NZL,combo,0.50,368.9706389427712,2
NZL,combo,afford,734.0176556275719,2
NZL,diet,0.20,3.6491525168338512,2
NZL,diet,0.50,3.6491525168338512,2
NZL,diet,afford,3.6491525168338512,2
NZL,glp1,0.20,146.22553599609537,2
NZL,glp1,0.50,365.4806359997736,2
NZL,glp1,afford,730.6839253646712,2
ROU,combo,0.20,1442.2714556318197,2
ROU,combo,0.50,3449.354040444292,2
ROU,combo,afford,6794.933418109253,2
ROU,diet,0.20,104.3268331678712,2
ROU,diet,0.50,104.3268331678712,2
ROU,diet,afford,104.3268331678712,2
ROU,glp1,0.20,1339.4989551919357,2
ROU,glp1,0.50,3348.895204394555,2
ROU,glp1,afford,6698.283130171481,2
TUR,combo,0.20,2932.271605327398,2
TUR,combo,0.50,7251.057114551479,2
TUR,combo,afford,14447.1230333514,2
TUR,diet,0.20,52.6037833679402,2
TUR,diet,0.50,52.6037833679402,2
TUR,diet,afford,52.6037833679402,2
TUR,glp1,0.20,2880.6829596255798,2
TUR,glp1,0.50,7200.976119184708,2
TUR,glp1,afford,14399.514638771932,2
USA,combo,0.20,11167.371609069249,2
USA,combo,0.50,27572.55723950505,2
USA,combo,afford,54905.80459015464,2
USA,diet,0.20,228.39901375975023,2
USA,diet,0.50,228.39901375975023,2
USA,diet,afford,228.39901375975023,2
