iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30,coverage
CAN,Male,IHD,combo,17815.712557068724,119.34429338250992,826.8751762901411,119.34429338250992,299.6805860083623,306.5840386997115,316.568063953102,331.67683811802635,352.34867722538183,378.2877862769019,408.4711665805444,441.4403370341825,475.698594488691,509.990130855218,543.3979410493994,575.3184471081186,605.3885381570071,633.4113930803869,659.2986730168777,683.0310063705983,704.6329351417844,724.1576098502337,741.6773874077044,757.2776819592764,771.0524397304143,783.100345570132,793.5213501574435,802.4133954608005,809.869371480323,815.974406026111,820.8036045930094,824.4203419963305,826.8751762901411,0.20
CAN,Female,IHD,glp1,5762.598783440903,85.60472602309892,199.5734650048508,85.60472602309892,202.85011403543103,194.57469088929065,188.9598639550204,185.7902698545477,184.35743278282823,184.14165952979965,184.7621560233092,185.937732897688,187.46020630184648,189.17535625296296,190.96889692530385,192.7561111040013,194.47428977878008,196.0773235019588,197.5319020343086,198.8148652759992,199.91133284756503,200.8133232971195,201.5186523080229,202.0299680024,202.3538378420308,202.4998450328858,202.4796835107627,202.30626115063933,201.9928327802263,201.5521898767984,200.9959342774164,200.3338603440097,199.5734650048508,0.20
CAN,Female,IHD,diet,6295.547518834344,0.0,387.03814857271936,0.0,3.2390927383312373,7.924234964022617,14.802374228838744,24.590192605559423,37.74616838432485,54.25244082620702,73.57993314326086,94.87507532865855,117.226504279668,139.85582699235238,162.1875683081962,183.8364553527026,204.56256296808715,224.22519749247652,242.74719950785584,260.0909927771354,276.2439391412663,291.2099760409146,305.0050512755188,317.6546140147948,329.1920583011015,339.65748089882254,349.09642853919286,357.55850791177727,365.0958495757295,371.7614806899219,377.6076899196924,382.6844740552151,387.03814857271936,0.20
CAN,Female,IHD,combo,11976.11306224156,85.60472602309892,581.9040911207121,85.60472602309892,206.0391817135024,202.374586132275,203.5318458795373,210.0018762549189,221.5289654467888,237.5776006917513,257.24773448637643,279.41881928589646,302.9855489160909,327.0267224046001,350.86035197524325,374.02105841665616,396.2085506612275,417.2369257499668,436.99576932657874,455.4239341215289,472.4932418503049,488.19885503635305,502.55366702436,515.5848562431856,527.331432566094,537.8421045989162,547.1731360530757,555.3860752867804,562.5453702896957,568.7159497027715,573.9608791818537,578.3392058014178,581.9040911207121,0.20
TUR,Male,IHD,glp1,33713.054819950004,353.1528771647718,1299.6671392628195,353.1528771647718,911.7413249211822,929.0121532715566,946.0382213956472,965.3987133405172,986.135015205,1007.431543265091,1028.6963950330537,1049.5312229096162,1069.6943283969886,1089.0657672578818,1107.614868127086,1125.3703115672688,1142.3935026867111,1158.7560527988098,1174.521863972972,1189.7338793690724,1204.4052032345644,1218.5140675933944,1232.0020203185995,1244.7746988855797,1256.7046009631013,1267.6353388753923,1277.3869496537372,1285.7619126875215,1292.551595224097,1297.542898772299,1300.5249166939611,1301.2954371017113,1299.6671392628195,0.20
TUR,Male,IHD,diet,23594.78963981071,0.0,1427.4820621390245,0.0,14.728345121940947,35.4830964912253,65.00479200320842,105.85536364352448,159.38906470574148,224.97721329389609,300.0598658402596,381.0389174025768,464.3628932794672,547.2105266686413,627.6713517892786,704.6227798051841,777.5111312759982,846.147862972517,910.5559033427852,970.8652454436524,1027.2463449643983,1079.8697078978876,1128.8827771068609,1174.3980082988855,1216.488133732084,1255.1860425377963,1290.487630198215,1322.3565522536371,1350.7301803646696,1375.5262829554704,1396.650089064904,1414.001475216981,1427.4820621390245,0.20
TUR,Male,IHD,combo,56999.35567237167,353.1528771647718,2711.6222685570974,353.1528771647718,926.1855543066558,963.8165754404764,1009.8324090777314,1069.3315722974512,1142.695622723666,1228.5048764377716,1323.6649952723674,1424.2500801091956,1526.5299656998104,1627.60802939086,1725.5684282764123,1819.3275318966328,1908.3935920273648,1992.6447820625328,2072.160606091508,2147.1060936056456,2217.6573618994007,2283.9566904430394,2346.087792690174,2404.064672685665,2457.8295595804084,2507.2568874152494,2552.1612754782545,2592.308114723812,2627.4257893463946,2657.218834948362,2681.3815057594184,2699.611326963539,2711.6222685570974,0.20
TUR,Female,IHD,glp1,25524.679957877222,269.8837295051271,1082.2778013746574,269.8837295051271,684.3042058900173,681.6711817752584,682.732133548554,688.9681537834622,699.1875844234819,712.3294768218839,727.5370061149515,744.1426064584448,761.6409718479117,779.6609754219608,797.9396669312409,816.2989712463168,834.625004224552,852.8498406893777,870.9356344173284,888.8610429224645,906.6099191795364,924.1622087866272,941.4869525684188,958.5372556924848,975.2470535392786,991.5294852712104,1007.2766781488316,1022.3607468709088,1036.6358193499618,1049.9409101344645,1062.103472506613,1072.9434684318985,1082.2778013746574,0.20
TUR,Female,IHD,diet,20000.54904644952,0.0,1269.667311459998,0.0,12.053514512561378,29.059917218815823,53.34249056404951,87.02984613146691,131.25173472166352,185.4819638528861,247.57194517575408,314.50570742757554,383.3271135565665,451.7255536180892,518.1852299796446,581.8691130616353,642.4205801542703,699.7821481814171,754.0620127685397,805.4462671721849,854.1450378298614,900.3610331799719,944.2720009883489,986.0215416833672,1025.714901766536,1063.4177875360035,1099.157095936258,1132.9229507641285,1164.6717011349683,1194.3296778420336,1221.797568713184,1246.9552995177364,1269.667311459998,0.20
TUR,Female,IHD,combo,45259.92768234885,269.8837295051271,2337.3122883194155,269.8837295051271,696.1252032307893,710.1730465637738,735.0754652157048,774.4078411450828,828.0968987096276,894.5766391665165,970.890784525778,1053.4156716058787,1138.7423920623478,1224.224957636514,1308.1031591987849,1389.367422638417,1467.5447221819925,1542.5030187144148,1614.3045100174786,1683.1057800367416,1749.0934078662683,1812.4437614030608,1873.2985626242728,1931.750647592344,1987.836439537088,2041.5330202765329,2092.7585172335675,2141.375007122697,2187.193408752093,2229.979983832236,2269.4641391133337,2305.3472565209668,2337.3122883194155,0.20
