iso3,arm,coverage,flow,yr
ISR,diet,0.50,64.11203391383856,9
ISR,diet,afford,64.11203391383856,9
ISR,glp1,0.20,118.03951041089942,9
ISR,glp1,0.50,295.3623724071376,9
ISR,glp1,afford,591.6101436609682,9
JPN,combo,0.20,3128.3420278407684,9
JPN,combo,0.50,5041.690428992122,9
JPN,combo,afford,8233.806039772353,9
JPN,diet,0.20,1853.5700938266016,9
JPN,diet,0.50,1853.5700938266016,9
JPN,diet,afford,1853.5700938266016,9
JPN,glp1,0.20,1287.9334231167811,9
JPN,glp1,0.50,3220.980748040056,9
JPN,glp1,afford,6445.812129759917,9
MEX,combo,0.20,3211.3224856789493,9
MEX,combo,0.50,6873.901140791255,9
MEX,combo,afford,13010.220340519276,9
MEX,diet,0.20,777.4787275238377,9
MEX,diet,0.50,777.4787275238377,9
MEX,diet,afford,777.4787275238377,9
MEX,glp1,0.20,2446.5774877638214,9
MEX,glp1,0.50,6128.190264532101,9
MEX,glp1,afford,12296.052542569178,9
NGA,combo,0.20,1172.707838209004,9
NGA,combo,0.50,2619.768102399717,9
NGA,combo,afford,2136.800673608286,9
NGA,diet,0.20,211.0497603075928,9
NGA,diet,0.50,211.0497603075928,9
NGA,diet,afford,211.0497603075928,9
NGA,glp1,0.20,963.5787014205744,9
NGA,glp1,0.50,2413.513074201492,9
NGA,glp1,afford,1929.588523996193,9
NZL,combo,0.20,222.42799841204248,9
NZL,combo,0.50,423.09803493358334,9
NZL,combo,afford,758.4067144767909,9
NZL,diet,0.20,88.86089057283539,9
NZL,diet,0.50,88.86089057283539,9
NZL,diet,afford,88.86089057283539,9
NZL,glp1,0.20,134.9297283526529,9
NZL,glp1,0.50,337.6365828620792,9
NZL,glp1,afford,676.3204341215286,9
ROU,combo,0.20,2355.342051231215,9
ROU,combo,0.50,3528.9334136327484,9
ROU,combo,afford,5500.089411019001,9
ROU,diet,0.20,1576.6339506051172,9
ROU,diet,0.50,1576.6339506051172,9
ROU,diet,afford,1576.6339506051172,9
ROU,glp1,0.20,794.5076508640662,9
ROU,glp1,0.50,1991.8361250407177,9
ROU,glp1,afford,4002.655545302402,9
TUR,combo,0.20,3519.916930953277,9
TUR,combo,0.50,7166.878614653848,9
TUR,combo,afford,13279.573318767138,9
TUR,diet,0.20,1097.0006466711384,9
TUR,diet,0.50,1097.0006466711384,9
TUR,diet,afford,1097.0006466711384,9
TUR,glp1,0.20,2439.9330004089297,9
TUR,glp1,0.50,6112.365234431931,9
TUR,glp1,afford,12267.360671232304,9
USA,combo,0.20,16224.457846664764,9
USA,combo,0.50,31393.14663221207,9
USA,combo,afford,56756.81449441132,9
USA,diet,0.20,6132.346001506435,9
USA,diet,0.50,6132.346001506435,9
USA,diet,afford,6132.346001506435,9
USA,glp1,0.20,10189.98129042478,9
USA,glp1,0.50,25504.81889654884,9
USA,glp1,afford,51110.28691725636,9
ZAF,combo,0.20,676.6100505720788,9
ZAF,combo,0.50,1634.7856284396605,9
ZAF,combo,afford,2596.183469280575,9
ZAF,diet,0.20,39.58236842518272,9
ZAF,diet,0.50,39.58236842518272,9
ZAF,diet,afford,39.58236842518272,9
ZAF,glp1,0.20,637.5390274155379,9
ZAF,glp1,0.50,1596.4788758499417,9
ZAF,glp1,afford,2558.6376669633337,9
AUS,combo,0.20,892.4430426594981,10
AUS,combo,0.50,1609.6815484811227,10
AUS,combo,afford,2808.1997808760384,10
AUS,diet,0.20,415.0527446910086,10
AUS,diet,0.50,415.0527446910086,10
AUS,diet,afford,415.0527446910086,10
AUS,glp1,0.20,483.4773231127664,10
AUS,glp1,0.50,1209.812334978572,10
AUS,glp1,afford,2423.398648630892,10
BGD,combo,0.20,5916.743531467122,10
BGD,combo,0.50,7358.094332770296,10
BGD,combo,afford,8802.457553207998,10
BGD,diet,0.20,4957.501615436209,10
BGD,diet,0.50,4957.501615436209,10
BGD,diet,afford,4957.501615436209,10
BGD,glp1,0.20,982.9049996263028,10
BGD,glp1,0.50,2459.739250313538,10
BGD,glp1,afford,3939.572239290117,10
BGR,combo,0.20,1040.3331459969695,10
BGR,combo,0.50,1606.703668241158,10
BGR,combo,afford,2558.8438583409693,10
BGR,diet,0.20,664.7504025074932,10
BGR,diet,0.50,664.7504025074932,10
BGR,diet,afford,664.7504025074932,10
BGR,glp1,0.20,382.5554548807735,10
BGR,glp1,0.50,959.4052760383488,10
BGR,glp1,afford,1929.0644226826253,10
BRA,combo,0.20,7326.596424323248,10
BRA,combo,0.50,12946.247326288194,10
BRA,combo,afford,22329.125518785528,10
BRA,diet,0.20,3584.320919024027,10
BRA,diet,0.50,3584.320919024027,10
BRA,diet,afford,3584.320919024027,10
BRA,glp1,0.20,3795.190465065938,10
BRA,glp1,0.50,9493.83398166278,10
BRA,glp1,afford,19007.339648149467,10
CAN,combo,0.20,1172.2734466492766,10
CAN,combo,0.50,2279.4474924356364,10
CAN,combo,afford,4129.668816135383,10
CAN,diet,0.20,435.3782067156008,10
CAN,diet,0.50,435.3782067156008,10
CAN,diet,afford,435.3782067156008,10
CAN,glp1,0.20,743.1929979528213,10
CAN,glp1,0.50,1859.7708598848503,10
CAN,glp1,afford,3725.549532877396,10
CHN,combo,0.20,69543.21616669868,10
CHN,combo,0.50,96149.2057088394,10
CHN,combo,afford,140587.5047514917,10
CHN,diet,0.20,51829.47431247226,10
CHN,diet,0.50,51829.47431247226,10
CHN,diet,afford,51829.47431247226,10
CHN,glp1,0.20,18057.17586737682,10
CHN,glp1,0.50,45177.55002925846,10
CHN,glp1,afford,90471.0882449573,10
DEU,combo,0.20,4581.880448071141,10
DEU,combo,0.50,8771.572138378338,10
DEU,combo,afford,15776.550593575954,10
DEU,diet,0.20,1794.24125346652,10
DEU,diet,0.50,1794.24125346652,10
DEU,diet,afford,1794.24125346652,10
DEU,glp1,0.20,2812.566605187294,10
DEU,glp1,0.50,7039.5438592067,10
DEU,glp1,afford,14106.37595992367,10
EGY,combo,0.20,5136.386718012676,10
EGY,combo,0.50,10648.63542154924,10
EGY,combo,afford,19934.4503063438,10
EGY,diet,0.20,1485.4522112490995,10
EGY,diet,0.50,1485.4522112490995,10
EGY,diet,afford,1485.4522112490995,10
EGY,glp1,0.20,3673.3115181253415,10
EGY,glp1,0.50,9219.14527622515,10
EGY,glp1,afford,18560.983329582832,10
GBR,combo,0.20,2566.903072876433,10
GBR,combo,0.50,4864.459171579716,10
GBR,combo,afford,8704.979149511213,10
GBR,diet,0.20,1037.985080631528,10
GBR,diet,0.50,1037.985080631528,10
GBR,diet,afford,1037.985080631528,10
GBR,glp1,0.20,1544.6255314927466,10
GBR,glp1,0.50,3865.636170079292,10
GBR,glp1,afford,7744.957071152804,10
GLB,combo,0.20,288172.9022573704,10
GLB,combo,0.50,429444.0893467737,10
GLB,combo,afford,665422.4006843984,10
GLB,diet,0.20,194122.6003337433,10
GLB,diet,0.50,194122.6003337433,10
GLB,diet,afford,194122.6003337433,10
GLB,glp1,0.20,95678.50579033594,10
GLB,glp1,0.50,239386.78804592264,10
GLB,glp1,afford,479412.86658356176,10
IND,combo,0.20,33585.94694938536,10
IND,combo,0.50,44692.13381191363,10
IND,combo,afford,63231.87700859083,10
IND,diet,0.20,26189.13519125449,10
IND,diet,0.50,26189.13519125449,10
IND,diet,afford,26189.13519125449,10
