iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
ZAF,Female,IHD,diet,500.5551150777301,0.0,33.89337379225071,0.0,0.22759384396704263,0.5599161216996436,1.0494045706309407,1.7478747911209211,2.6904572288858617,3.88001649753096,5.283811106501162,6.8453914190140495,8.50256824636017,10.200898910570686,11.899272466303955,13.5697815145395,15.19511481776135,16.765563723070954,18.27651941606382,19.726644558873886,21.11662512332623,22.448342803552805,23.724325058350587,24.947367605584077,26.120260071875236,27.24557315057973,28.325484863122256,29.361635954479425,30.355011868919973,31.30585264291949,32.2135935580427,33.07683935183195,33.89337379225071
ZAF,Female,IHD,combo,17591.245081398993,223.04060461806148,682.5793915180293,223.04060461806148,546.6162931125782,545.2745353787886,543.0396841590828,542.0587540823999,542.3597508073781,543.887498320868,546.5408456871355,550.1861649370767,554.6761960143758,559.865379715904,565.6183327413455,571.8131554056472,578.3422177447101,585.1120640284935,592.0430359039638,599.0686698576428,606.1347591303565,613.1979857683255,620.2241012480299,627.1857079066649,634.059748933083,640.824848559012,647.4586586429323,653.9353667827108,660.22350807779,666.2842008851858,672.0698991264308,677.5237223049917,682.5793915180293
MEX,Male,IHD,glp1,163068.1508530029,1939.6395106392738,6409.681079355811,1939.6395106392738,4740.92398812926,4668.934491782144,4632.253984718482,4636.188083501867,4670.860546909724,4728.519081021164,4803.193077537086,4890.223662448727,4985.9317407339695,5087.383375044257,5192.219858163749,5298.530838138016,5404.756725227649,5509.611805611377,5612.0227382418525,5711.079056060291,5805.993411870135,5896.069937333799,5980.679439947664,6059.240382306278,6131.204746922624,6196.048026206205,6253.26270476004,6302.354720216375,6342.8424934324285,6374.258201774981,6396.151025010433,6408.092119957233,6409.681079355811
MEX,Male,IHD,diet,21131.593872038356,0.0,1318.3245516838215,0.0,9.793747004907345,24.873365938619827,47.58416566095548,80.23448713721882,124.28625362396997,179.60299273591954,244.3303386249172,315.53183756553335,390.0989204789512,465.40510949147574,539.5479472526058,611.3044583514711,679.9712954020652,745.1964593649318,806.8448377352906,864.9041247452697,919.424157627931,970.4801225106639,1018.1514912424173,1062.510793190042,1103.618292475352,1141.5200862229103,1176.2481158228911,1207.8212113625777,1236.2466796050867,1261.5221804779867,1283.6377721041063,1302.5780765984673,1318.3245516838215
MEX,Male,IHD,combo,182820.78008927166,1939.6395106392738,7654.643642025476,1939.6395106392738,4749.859631939282,4691.595065905451,4675.64803298765,4709.458416245587,4784.525679462342,4893.022832696675,5027.333440332106,5180.149715361025,5344.964917184552,5516.437432318431,5690.447863677255,5863.938337672778,6034.674250897078,6201.016977176987,6361.7411713593465,6515.899874269351,6662.729287467198,6801.58319222409,6931.888490055921,7053.115516627193,7164.758681011488,7266.324409761088,7357.324381552433,7437.272726507916,7505.686325187489,7562.087641168764,7606.009702607291,7637.00294295013,7654.643642025476
MEX,Female,IHD,glp1,131103.37376322443,1612.5530816730388,5826.733527414282,1612.5530816730388,3791.269041765321,3583.2597351056174,3463.073977279353,3413.752842481088,3414.003366324847,3449.461136115351,3510.368503130987,3589.9277302241026,3683.2642948671637,3786.778135331122,3897.735262799295,4014.00684040731,4133.898541223563,4256.035474930686,4379.281777874363,4502.682289103643,4625.418696029505,4746.775470479159,4866.11266198325,4982.843674491742,5096.41682273442,5206.29991407592,5311.967421699432,5412.89004994143,5508.526661688826,5598.318647624808,5681.686870185047,5758.0313142397645,5826.733527414282
MEX,Female,IHD,diet,18069.481627847992,0.0,1199.0207297617017,0.0,8.229258328203287,20.7317284185483,39.48078105447348,66.41530046964908,102.73722456553514,148.27320360319573,201.40297655034374,259.6479499084526,320.47478443845466,381.84151609407854,442.3646196020127,501.2387867667858,558.0710933283117,612.7238438323257,665.198337811773,715.559907841176,763.8941297659476,810.2835085785628,854.7964326024958,897.4829214914353,938.3738157365879,977.4814920380595,1014.8010911892488,1050.3117840531777,1083.977909528301,1115.7499856783834,1145.5656776229443,1173.350837187827,1199.0207297617017
MEX,Female,IHD,combo,148031.36632617985,1612.5530816730388,6958.993245993566,1612.5530816730388,3798.777273416061,3602.166814644348,3499.14324001599,3474.5437907492887,3508.211483119572,3585.6675137257407,3695.7114664556575,3829.300570365762,3979.243129532595,4140.052905688986,4307.701389766356,4479.290963137682,4652.737475136804,4826.513729450773,4999.463286636907,5170.673173584422,5339.389230397064,5504.959950895296,5666.7985133635375,5824.356155080954,5977.1026077766,6124.511058317701,6266.046242916331,6401.155016015517,6529.259192789061,6649.750733473542,6761.989471616485,6865.303620444218,6958.993245993566
AUS,Male,IHD,glp1,32116.537551391237,321.17661084202336,1225.8976501196375,321.17661084202336,827.5679390672667,849.0066076570947,871.4423662431655,897.0617048573113,924.5570548322085,952.6784770459308,980.4326582743015,1007.1045355918068,1032.2279179269135,1055.5375613622782,1076.9186948211936,1096.3619613223163,1113.9269646837893,1129.7147969733778,1143.8484566457118,1156.4594985093208,1167.6792230565334,1177.6329494224083,1186.4362506098296,1194.192362933205,1200.9902667551614,1206.9031569998333,1211.9871809890901,1216.280426598525,1219.8022062827222,1222.552712270106,1224.5131237340393,1225.6462349641333,1225.8976501196375
AUS,Male,IHD,diet,9659.366194889699,0.0,574.4693592606964,0.0,5.821222225613383,14.202040714433679,26.46987927650116,43.81819429357347,66.88314393182918,95.36375820329704,128.01952221991814,163.09155601649763,198.84382345937775,233.9174297971549,267.42813465194195,298.90104350618276,328.15159330165625,355.1750431882683,380.0650522899923,402.96092335393405,424.016392747224,443.3826164848506,461.1997473584888,477.5933616188049,492.67342992088015,506.53449829922465,519.2563560534218,530.9048339048386,541.5325865280829,551.1798286964986,559.87505189898,567.6357716875355,574.4693592606964
AUS,Male,IHD,combo,41162.70470460086,321.17661084202336,1767.5356655579744,321.17661084202336,832.912031645099,862.0380762609693,895.7630186446586,937.3798455446031,986.1839596387108,1040.6703512286058,1098.7228164177268,1158.0163036210106,1216.4832520744167,1272.5943055684766,1325.40241462009,1374.4420353014466,1419.585851864289,1460.9167279395988,1498.633284478503,1532.9875819883346,1564.247008714301,1592.672335568699,1618.5057307499264,1641.964516753047,1663.2380333933943,1682.4860772849424,1699.8381098304671,1715.392871921722,1729.2183042340039,1741.3518115854677,1751.800971556746,1760.5447997716074,1767.5356655579744
