iso3,outcome,averted_10yr,gdd_var
AUS,IschStroke,11528.383558740892,v15
BGD,CKD,14800.557168730687,v15
BGD,IHD,172830.9377255686,v15
BGD,IschStroke,72209.14902465812,v15
BGR,CKD,1269.3826493965528,v15
BGR,IHD,18359.212286968766,v15
BGR,IschStroke,14169.276093290748,v15
BRA,CKD,41852.46386713412,v15
BRA,IHD,243334.0076533443,v15
BRA,IschStroke,120423.87043440834,v15
CAN,CKD,9150.885396180647,v15
CAN,IHD,47542.47219771501,v15
CAN,IschStroke,18065.741900306966,v15
CHN,CKD,119017.16091370909,v15
CHN,IHD,1989812.037260335,v15
CHN,IschStroke,1647530.3630949296,v15
DEU,CKD,30423.50556817512,v15
DEU,IHD,178038.21991547983,v15
DEU,IschStroke,59302.15490523466,v15
EGY,CKD,36055.35133518658,v15
EGY,IHD,213472.4713009163,v15
EGY,IschStroke,52798.37081741472,v15
GBR,CKD,10038.843456201655,v15
GBR,IHD,95966.05912940437,v15
GBR,IschStroke,32833.634242942935,v15
GLB,CKD,1154476.1837159696,v15
GLB,IHD,9927517.301002586,v15
GLB,IschStroke,5259655.907925993,v15
IND,CKD,76507.87606015001,v15
IND,IHD,1740770.4403694877,v15
IND,IschStroke,692779.2240965704,v15
ISR,CKD,2990.5634207841836,v15
ISR,IHD,7281.105838679097,v15
ISR,IschStroke,2730.351738586258,v15
JPN,CKD,23552.877528271012,v15
JPN,IHD,115709.47571175687,v15
JPN,IschStroke,93755.4531667528,v15
MEX,CKD,50509.76173209039,v15
MEX,IHD,190332.95588491205,v15
MEX,IschStroke,36785.947456840746,v15
NGA,CKD,26592.881179675045,v15
NGA,IHD,81571.0010321336,v15
NGA,IschStroke,71911.95505420139,v15
NZL,CKD,1039.7395218121937,v15
NZL,IHD,9011.580988413887,v15
NZL,IschStroke,2605.572023187523,v15
ROU,CKD,2579.354109348711,v15
ROU,IHD,45795.498298306804,v15
ROU,IschStroke,27876.214473035485,v15
TUR,CKD,21494.840763205564,v15
TUR,IHD,157257.81627422504,v15
TUR,IschStroke,41905.16904581223,v15
USA,CKD,119994.59485405564,v15
USA,IHD,667340.7939191863,v15
USA,IschStroke,164737.8959654135,v15
ZAF,CKD,10684.095214057399,v15
ZAF,IHD,30343.756649574265,v15
ZAF,IschStroke,32077.97875858655,v15
AUS,CKD,5619.576308377827,v29
AUS,IHD,36673.90253068984,v29
AUS,IschStroke,11528.383558740892,v29
BGD,CKD,14800.557168730687,v29
BGD,IHD,224288.9152592197,v29
BGD,IschStroke,72209.14902465812,v29
BGR,CKD,1269.3826493965528,v29
BGR,IHD,18454.94943502683,v29
BGR,IschStroke,14169.276093290748,v29
BRA,CKD,41852.46386713412,v29
BRA,IHD,227263.37685883648,v29
BRA,IschStroke,120423.87043440834,v29
CAN,CKD,9150.885396180647,v29
CAN,IHD,54642.97979085098,v29
CAN,IschStroke,18065.741900306966,v29
CHN,CKD,119017.16091370909,v29
CHN,IHD,2083506.2295240401,v29
CHN,IschStroke,1647530.3630949296,v29
DEU,CKD,30423.50556817512,v29
DEU,IHD,185794.08867345168,v29
DEU,IschStroke,59302.15490523466,v29
EGY,CKD,36055.35133518658,v29
EGY,IHD,304905.37306559645,v29
EGY,IschStroke,52798.37081741472,v29
GBR,CKD,10038.843456201655,v29
GBR,IHD,104775.9464384291,v29
GBR,IschStroke,32833.634242942935,v29
GLB,CKD,1154476.1837159696,v29
GLB,IHD,11347785.558595292,v29
GLB,IschStroke,5259655.907925993,v29
IND,CKD,76507.87606015001,v29
IND,IHD,2408931.5708780224,v29
IND,IschStroke,692779.2240965704,v29
ISR,CKD,2990.5634207841836,v29
ISR,IHD,7334.6692485973645,v29
ISR,IschStroke,2730.351738586258,v29
JPN,CKD,23552.877528271012,v29
JPN,IHD,123277.15022987271,v29
JPN,IschStroke,93755.4531667528,v29
MEX,CKD,50509.76173209039,v29
MEX,IHD,199980.19671329472,v29
MEX,IschStroke,36785.947456840746,v29
NGA,CKD,26592.881179675045,v29
NGA,IHD,121062.39460109224,v29
NGA,IschStroke,71911.95505420139,v29
NZL,CKD,1039.7395218121937,v29
NZL,IHD,10553.439454972216,v29
NZL,IschStroke,2605.572023187523,v29
ROU,CKD,2579.354109348711,v29
ROU,IHD,52539.041502375054,v29
ROU,IschStroke,27876.214473035485,v29
TUR,CKD,21494.840763205564,v29
TUR,IHD,196653.1318158525,v29
TUR,IschStroke,41905.16904581223,v29
USA,CKD,119994.59485405564,v29
USA,IHD,587866.5027834212,v29
USA,IschStroke,164737.8959654135,v29
ZAF,CKD,10684.095214057399,v29
ZAF,IHD,31688.222228795115,v29
ZAF,IschStroke,32077.97875858655,v29
AUS,CKD,5619.576308377827,v30
AUS,IHD,29905.52325845294,v30
AUS,IschStroke,11528.383558740892,v30
BGD,CKD,14800.557168730687,v30
BGD,IHD,166423.84688280657,v30
BGD,IschStroke,72209.14902465812,v30
BGR,CKD,1269.3826493965528,v30
BGR,IHD,21884.91649147572,v30
BGR,IschStroke,14169.276093290748,v30
BRA,CKD,41852.46386713412,v30
BRA,IHD,271786.24352446944,v30
BRA,IschStroke,120423.87043440834,v30
CAN,CKD,9150.885396180647,v30
CAN,IHD,46370.85269342267,v30
CAN,IschStroke,18065.741900306966,v30
CHN,CKD,119017.16091370909,v30
CHN,IHD,2039277.5610159652,v30
CHN,IschStroke,1647530.3630949296,v30
DEU,CKD,30423.50556817512,v30
DEU,IHD,182986.53765488495,v30
DEU,IschStroke,59302.15490523466,v30
EGY,CKD,36055.35133518658,v30
EGY,IHD,201895.821819001,v30
EGY,IschStroke,52798.37081741472,v30
GBR,CKD,10038.843456201655,v30
GBR,IHD,91220.42277620803,v30
GBR,IschStroke,32833.634242942935,v30
GLB,CKD,1154476.1837159696,v30
GLB,IHD,10109520.82690564,v30
GLB,IschStroke,5259655.907925993,v30
IND,CKD,76507.87606015001,v30
IND,IHD,2321127.0956606558,v30
IND,IschStroke,692779.2240965704,v30
ISR,CKD,2990.5634207841836,v30
ISR,IHD,6366.729517314627,v30
ISR,IschStroke,2730.351738586258,v30
JPN,CKD,23552.877528271012,v30
JPN,IHD,111391.8317322301,v30
JPN,IschStroke,93755.4531667528,v30
MEX,CKD,50509.76173209039,v30
MEX,IHD,184851.14079529038,v30
MEX,IschStroke,36785.947456840746,v30
NGA,CKD,26592.881179675045,v30
NGA,IHD,113055.21789944088,v30
NGA,IschStroke,71911.95505420139,v30
NZL,CKD,1039.7395218121937,v30
NZL,IHD,8935.000383622702,v30
NZL,IschStroke,2605.572023187523,v30
ROU,CKD,2579.354109348711,v30
ROU,IHD,54178.79073383138,v30
ROU,IschStroke,27876.214473035485,v30
TUR,CKD,21494.840763205564,v30
TUR,IHD,189074.7017810293,v30
TUR,IschStroke,41905.16904581223,v30
USA,CKD,119994.59485405564,v30
USA,IHD,663244.3378133861,v30
USA,IschStroke,164737.8959654135,v30
ZAF,CKD,10684.095214057399,v30
ZAF,IHD,36848.606130782726,v30
ZAF,IschStroke,32077.97875858655,v30
AUS,CKD,5619.576308377827,v34
AUS,IHD,35316.977308435555,v34
AUS,IschStroke,12594.112814243617,v34
BGD,CKD,14800.557168730687,v34
BGD,IHD,292304.63174047327,v34
BGD,IschStroke,104641.82131737284,v34
BGR,CKD,1269.3826493965528,v34
BGR,IHD,20199.704780590684,v34
BGR,IschStroke,16883.955280634924,v34
BRA,CKD,41852.46386713412,v34
BRA,IHD,259227.39458391434,v34
BRA,IschStroke,130541.45297424306,v34
CAN,CKD,9150.885396180647,v34
CAN,IHD,47101.69889878253,v34
CAN,IschStroke,18600.13663497121,v34
CHN,CKD,119017.16091370909,v34
CHN,IHD,2100296.4862901843,v34
CHN,IschStroke,1739084.3610101398,v34
DEU,CKD,30423.50556817512,v34
DEU,IHD,185028.86332166972,v34
DEU,IschStroke,63395.99324415348,v34
EGY,CKD,36055.35133518658,v34
EGY,IHD,196358.12256291762,v34
EGY,IschStroke,52025.887895377775,v34
GBR,CKD,10038.843456201655,v34
GBR,IHD,99901.36138146956,v34
GBR,IschStroke,35061.225870629845,v34
GLB,CKD,1154476.1837159696,v34
GLB,IHD,10738693.365542935,v34
GLB,IschStroke,5759573.525285212,v34
IND,CKD,76507.87606015001,v34
IND,IHD,2025582.399433581,v34
IND,IschStroke,766429.2783811395,v34
ISR,CKD,2990.5634207841836,v34
ISR,IHD,6722.95959084719,v34
ISR,IschStroke,2768.284537993207,v34
JPN,CKD,23552.877528271012,v34
JPN,IHD,139188.17541416484,v34
JPN,IschStroke,110999.72933240702,v34
MEX,CKD,50509.76173209039,v34
MEX,IHD,153177.2485691678,v34
MEX,IschStroke,36315.5108289012,v34
NGA,CKD,26592.881179675045,v34
NGA,IHD,77258.09045931365,v34
NGA,IschStroke,70825.58079063236,v34
NZL,CKD,1039.7395218121937,v34
NZL,IHD,9818.914720559935,v34
NZL,IschStroke,2822.2309465859753,v34
ROU,CKD,2579.354109348711,v34
ROU,IHD,42241.193571361975,v34
ROU,IschStroke,28436.284004622154,v34
TUR,CKD,21494.840763205564,v34
TUR,IHD,143194.09911749663,v34
TUR,IschStroke,41090.99634112583,v34
USA,CKD,119994.59485405564,v34
USA,IHD,666085.1892766885,v34
USA,IschStroke,176984.99235720758,v34
ZAF,CKD,10684.095214057399,v34
ZAF,IHD,31124.27246095531,v34
ZAF,IschStroke,34006.17978454996,v34
AUS,CKD,5723.579018735872,v37
AUS,IHD,29598.8852696504,v37
AUS,IschStroke,11841.27186335608,v37
BGD,CKD,15675.297948061661,v37
BGD,IHD,181330.78030710347,v37
BGD,IschStroke,79442.94027749154,v37
BGR,CKD,1683.170938309164,v37
BGR,IHD,20816.250230538502,v37
BGR,IschStroke,26039.217602295234,v37
BRA,CKD,45053.27052892628,v37
BRA,IHD,243505.27985380922,v37
