iso3,yr,cum_averted,gdd_var,factor
NZL,11,129.1,v01,Fruits
ROU,11,941.8,v01,Fruits
TUR,11,354.9,v01,Fruits
USA,11,6782.3,v01,Fruits
ZAF,11,5317.1,v01,Fruits
AUS,12,663.7,v01,Fruits
BGD,12,16510.7,v01,Fruits
BGR,12,1121.7,v01,Fruits
BRA,12,3800.1,v01,Fruits
CAN,12,414.3,v01,Fruits
CHN,12,70411.6,v01,Fruits
DEU,12,2427.7,v01,Fruits
EGY,12,2193.1,v01,Fruits
GBR,12,1831.5,v01,Fruits
GLB,12,304928.4,v01,Fruits
IND,12,284575.9,v01,Fruits
ISR,12,39.2,v01,Fruits
JPN,12,6349.3,v01,Fruits
MEX,12,2076.1,v01,Fruits
NGA,12,5379.8,v01,Fruits
NZL,12,163.3,v01,Fruits
ROU,12,1158.8,v01,Fruits
TUR,12,447.9,v01,Fruits
USA,12,8643.0,v01,Fruits
ZAF,12,6751.3,v01,Fruits
AUS,13,821.7,v01,Fruits
BGD,13,20341.1,v01,Fruits
BGR,13,1350.2,v01,Fruits
BRA,13,4749.2,v01,Fruits
CAN,13,517.6,v01,Fruits
CHN,13,87774.0,v01,Fruits
DEU,13,2966.8,v01,Fruits
EGY,13,2695.6,v01,Fruits
GBR,13,2252.1,v01,Fruits
GLB,13,379054.5,v01,Fruits
IND,13,350786.0,v01,Fruits
ISR,13,48.9,v01,Fruits
JPN,13,7756.3,v01,Fruits
MEX,13,2600.2,v01,Fruits
NGA,13,6732.4,v01,Fruits
NZL,13,201.2,v01,Fruits
ROU,13,1391.3,v01,Fruits
TUR,13,551.5,v01,Fruits
USA,13,10727.7,v01,Fruits
ZAF,13,8353.2,v01,Fruits
AUS,14,995.1,v01,Fruits
BGD,14,24521.9,v01,Fruits
BGR,14,1590.7,v01,Fruits
BRA,14,5804.0,v01,Fruits
CAN,14,632.3,v01,Fruits
CHN,14,106978.2,v01,Fruits
DEU,14,3551.1,v01,Fruits
EGY,14,3244.1,v01,Fruits
GBR,14,2710.0,v01,Fruits
GLB,14,460906.2,v01,Fruits
IND,14,423189.0,v01,Fruits
ISR,14,59.6,v01,Fruits
JPN,14,9271.2,v01,Fruits
MEX,14,3183.7,v01,Fruits
NGA,14,8245.2,v01,Fruits
NZL,14,242.7,v01,Fruits
ROU,14,1636.7,v01,Fruits
TUR,14,664.9,v01,Fruits
USA,14,13020.9,v01,Fruits
ZAF,14,10112.7,v01,Fruits
AUS,15,1182.7,v01,Fruits
BGD,15,29025.0,v01,Fruits
BGR,15,1840.7,v01,Fruits
BRA,15,6959.0,v01,Fruits
CAN,15,757.6,v01,Fruits
CHN,15,127909.5,v01,Fruits
DEU,15,4176.3,v01,Fruits
