iso3,outcome,glp1_channel,conv_wt,deaths,deaths_lo,deaths_hi,rate_per_100k
BRA,IschStroke,纯直接效应-结构不可及,0.0,955.8455844329785,-1286.0808867706746,4501.688249566797,0.6904671222841396
BRA,IschStroke,部分汇流-结构小部可及,0.17066666666666666,3818.0519468783996,-2030.499219095395,10199.214226759499,2.7580180140250805
BRA,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,1224.8703565582841,-86.21027433830521,2751.525826668871,0.8848005619711552
BRA,SAH,完全汇流-结构可及,1.0,791.23401834805,2.6856113622560596,2580.51249920056,0.5715578798495783
BRA,SAH,纯直接效应-结构不可及,0.0,-1260.430012401424,-6867.409973493493,3116.1530296174324,-0.9104875281917422
BRA,T2D,完全汇流-结构可及,1.0,16147.509615655496,1947.2637129387208,36317.75000029022,11.664357379430765
BRA,T2D,纯直接效应-结构不可及,0.0,491.07113814968915,149.43297076447237,987.02077359741,0.35473143478102
CAN,CKD,完全汇流-结构可及,1.0,1265.923726823214,360.017675101682,2919.0203729955133,4.546326910364829
CAN,ICH,基本不汇流-结构近乎不可及,0.024,151.102256776879,-9.308893133688885,326.47624948300904,0.5426553287894218
CAN,ICH,完全汇流-结构可及,1.0,173.5061827012253,0.7096533045706928,589.846039351954,0.6231148139617855
CAN,ICH,纯直接效应-结构不可及,0.0,-205.69556529409323,-961.2991591218664,452.6557904797188,-0.7387169258498595
CAN,ICH,部分汇流-结构小部可及,0.119,9.843806356210694,-0.10626210444001019,62.211794829455044,0.0353521786418897
CAN,IHD,基本不汇流-结构近乎不可及,0.006,3560.0174089393045,-6331.771797701765,12291.798596089731,12.785132788563546
CAN,IHD,完全汇流-结构可及,1.0,1256.5303142382968,5.469134511616758,4225.642516773176,4.51259223622128
CAN,IHD,纯直接效应-结构不可及,0.0,4443.267342621778,-850.5078419045757,11414.148478880074,15.957158762162624
CAN,IHD,部分汇流-结构小部可及,0.2012,5302.621109661331,1963.268843363866,9896.963993127045,19.04336614877945
CAN,IschStroke,完全汇流-结构可及,1.0,379.73800301789584,23.961492174068386,1271.5391303611475,1.3637575988411457
CAN,IschStroke,纯直接效应-结构不可及,0.0,12.30998729539178,-112.38282160020545,189.34785420287372,0.044209003529566
CAN,IschStroke,部分汇流-结构小部可及,0.17066666666666666,199.92706386479296,-238.18702479156403,682.8165196834043,0.7180004381777959
