iso3,arm,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,diet,0.0,1467.7559036309249,3607.0321036289824,6733.470985227788,11150.37488327238,17042.41509295364,24377.276822625223,32892.62712298712,42184.19101819556,51829.47431247226,61475.82411712686,70872.24993482776,79862.33196890674,88361.44250943152,96332.81502883771,103768.3271567544,110675.04917181944,117066.71474655297,122958.82727667424,128366.2246806933,133302.18175669172,137778.38317253132,141805.3105541554,145392.7500108789,148550.248053417,151287.43169902576,153614.16914750377,155540.58622092538,157076.97548756743,158233.64377913697
CHN,glp1,6302.246515669337,16155.530332314767,16334.156094953141,16455.909860782078,16610.454531908807,16811.57626310413,17062.04839581826,17358.17566173199,17692.735883527246,18057.17586737682,18443.019321388987,18842.588993276542,19249.228759440797,19657.22472639002,20061.59336682489,20457.854612211333,20841.856806166674,21209.678671476824,21557.60478006795,21882.155120214346,22180.143745333902,22448.74295151503,22685.534907089706,22888.53968225229,23056.215469293427,23187.43240805609,23281.425366427007,23337.733212125415,23356.1327517818,23336.57494689146
DEU,diet,0.0,64.17603037872323,155.05966424062353,283.1907790069563,456.051499780795,674.7457061132626,932.0925888896309,1214.4140256658175,1506.1665595025624,1794.24125346652,2069.8528332444257,2328.2656017838963,2567.584082799829,2787.535107735912,2988.6014993832136,3171.5227753151157,3337.059965266708,3485.916611540273,3618.7375436762886,3736.1374433455894,3838.7333606219654,3927.1692524218815,4002.128586679981,4064.335265636757,4114.545102127802,4153.5307975625765,4182.063392494914,4200.892823442813,4210.729715894922,4212.229985872662
DEU,glp1,998.4560482079687,2574.4639316101384,2629.8493508999272,2664.770982751059,2691.4262795253744,2713.4974810023195,2734.4666682094357,2757.0426930750473,2782.8719396033775,2812.566605187294,2845.9012637513697,2882.0647960910756,2919.901147314369,2958.1082787735577,2995.3870778306446,3030.54355229684,3062.552199953334,3090.589194538974,3114.0430910578543,3132.5093251682556,3145.7734285300285,3153.7867964348043,3156.638032721956,3154.5222959658313,3147.7106057342535,3136.520679157071,3121.2905187551405,3102.3556445199756,3080.0305524147007,3054.5946916164685
EGY,diet,0.0,60.75632786699498,129.0733175604837,227.09424802296417,361.96050534885217,537.3172859439037,748.9329055911949,986.1354603397667,1235.5986925803372,1485.4522112490995,1727.3866563126721,1956.7734503640604,2171.790785965615,2372.3872243351034,2559.446730504056,2734.2215981875634,2897.985053541601,3051.83608580898,3196.601880322538,3332.8007363244687,3460.6421501549266,3580.0498657228345,3690.699209108472,3792.0631818252696,3883.463533179238,3964.1239860697387,4033.2233302451423,4089.946442012122,4133.531561396965,4163.3124193317635
EGY,glp1,1588.0353923225593,3849.9083396601054,3586.51218225322,3521.139442689924,3494.0650759125997,3501.9481394866852,3527.287325706424,3566.325612674642,3615.541457210744,3673.3115181253415,3738.4935338466785,3810.3468909583426,3888.2724646221036,3971.6994612877643,4059.9868878402303,4152.360587607549,4247.872363259034,4345.380668998405,4443.549642208083,4540.8641657331245,4635.658280981785,4726.154237030278,4810.509373220993,4886.868029926842,4953.415735296498,5008.433041420227,5050.346583378734,5077.775210879554,5089.569389115088,5084.842470835567
GBR,diet,0.0,34.697073056964655,83.93140653687624,153.75109624658853,249.3612956163788,372.8372015003233,521.4116614461609,687.8618239288035,862.9161178820641,1037.985080631528,1206.7581622383332,1365.4788243121602,1512.4584781552448,1647.3875931471466,1770.7376198961347,1883.3385086272629,1986.117857799547,2079.958973126377,2165.636412604642,2243.7975371865014,2314.968689337212,2379.5724877286866,2437.9482310761405,2490.3710471465847,2537.0677442712313,2578.228747224385,2614.016327359014,2644.5697720206954,2670.0083172270115,2690.4326829315605
GBR,glp1,571.5504563604754,1435.5727900788079,1439.645812925527,1446.1452589015198,1457.9998261379724,1473.3550674279077,1490.6830396916148,1508.826169432853,1526.9755726237863,1544.6255314927466,1561.5066620952703,1577.5125724313366,1592.6330604106315,1606.901222801399,1620.356700288573,1633.0238750064345,1644.9020866842557,1655.9643872180122,1666.1615450744766,1675.4285788758043,1683.691800162599,1690.8750318022285,1696.9042630791846,1701.7104727506112,1705.2306923832266,1707.4076045764978,1708.1880921783577,1707.5211959366034,1705.3559196353726,1701.639262364688
GLB,diet,0.0,5768.977041188395,14114.364500333788,26211.48952583794,43138.4819395541,65482.422231580014,93003.35308933305,124635.41157219245,158851.04186103633,194122.60033374326,229224.40499975777,263320.7484033719,295918.8608802698,326775.8976229066,355810.36867318116,383035.12510353513,408512.350229656,432325.5598381605,454563.1989802758,475309.5815150249,494640.23689668986,512619.7808610357,529301.1648591586,544725.644792412,558923.1164080838,571912.6513464279,583703.1754895854,594294.2874943186,603677.2384417837,611836.0956861672
GLB,glp1,33390.07829626626,84577.38992129872,85272.53682881733,86062.07219738618,87170.9022387159,88538.36223733064,90113.67363875639,91853.49631307705,93719.60369249922,95678.50579033596,97701.45266833284,99764.24031771754,101846.7288896495,103932.16580930457,106006.44164763275,108057.38081176276,110074.12673835002,112046.64317666285,113965.32691182801,115820.71356305515,117603.25442832452,119303.14530515822,120910.19454164314,122413.72468712507,123802.50826467387,125064.74239047151,126188.06886080117,127159.64601553255,127966.27656881232,128594.59223265643
IND,diet,0.0,849.8507525539535,2037.8060313527167,3744.5521247625293,6112.508200687284,9203.939640875557,12956.038355587174,17190.143952522965,21673.426926077234,26189.135191254492,30577.33545718495,34741.72721106723,38637.41303740669,42253.90925153633,45600.57686832374,48696.34544699987,51563.24908870373,54222.70143508144,56693.54178024047,58991.155836531034,61127.22018893309,63109.79594856807,64943.61152028435,66630.44420152766,68169.55102649212,69558.1219445695,70791.74032967322,71864.8415064378,72771.1622442785,73504.17470847207
IND,glp1,2638.812970883737,6800.241434972013,6804.243828866536,6843.819926773242,6914.315255087488,7006.2161640607665,7113.8092962115115,7233.591604915979,7363.189313278002,7500.8634688957045,7645.242711365187,7795.16237238561,7949.558426855423,8107.392849157448,8267.599445832064,8429.044694517128,8590.500656908887,8750.628254833136,8907.96981349845,9060.95008787763,9207.88513003668,9346.998386144784,9476.443361118043,9594.332076127888,9698.768389302684,9787.885075291779,9859.88338975882,9913.073704918424,9945.915713520022,9957.056677073531
ISR,diet,0.0,2.2698291698307003,5.520075845741302,10.247184187175321,16.921242851750435,25.833901583533248,36.954732150241966,49.91056004468737,64.11203391383856,78.9337381651361,93.84506768025369,108.4613209419856,122.53865427715346,135.94530194665663,148.62947657640552,160.59231913706003,171.86760878977998,182.50736343001063,192.57188809404693,202.1229899278087,211.21940555204924,219.91377974529132,228.25074880729858,236.26582587808366,243.98487871041448,251.42405074702833,258.59001650842106,265.4804902217295,272.084926895629,278.3853701122557
ISR,glp1,32.56287667584513,83.80337335531897,87.1744868858649,91.14637462906069,95.8003568430779,100.96184739133093,106.47671358126797,112.2088999752059,118.03951041089942,123.86820310661426,129.6146225579456,135.21883371778767,140.64049957412294,145.8569497932382,150.86046130306227,155.65510754481556,160.25349594708223,164.67364391322303,168.93616676884517,173.06188019504134,177.06986112859113,180.9759670634205,184.79178372313163,188.5239533975714,192.1738284119706,195.73739362116612,199.2054060236262,202.56370641977037,205.79366576854386,208.8727362598213
JPN,diet,0.0,76.02738495206722,185.0941787352749,339.65522623543075,549.7601647963384,818.1680861436072,1137.0228799664328,1489.1617120547198,1853.5700938266018,2211.236675829532,2548.4330485277424,2857.1879749392247,3134.2066717410453,3379.3963775075426,3594.5820190414634,3782.570640639984,3946.5335497700107,4089.625096643824,4214.762704817385,4324.512237647785,4421.0407834265825,4506.111999393306,4581.107760312891,4647.065325559179,4704.722717016361,4754.567278722749,4796.883954529381,4831.80095140533,4859.331306138385,4879.409523511018
JPN,glp1,507.24964554088365,1238.6674589112772,1230.5843557138505,1231.7799520283952,1240.325408077766,1252.2825975805026,1265.148861123711,1277.3519099588739,1287.9334231167813,1296.3662674996085,1302.4377823873074,1306.1649765742986,1307.7260901318114,1307.402529648698,1305.5295955114416,1302.4560214869925,1298.512552592616,1293.9894193573273,1289.122070025358,1284.0841087214503,1278.986133276343,1273.879075368237,1268.7606888434275,1263.5839697284828,1258.2664847207998,1252.6998013127777,1246.7584276379566,1240.3078668806593,1233.2115596690855,1225.3366236367765
MEX,diet,0.0,24.428602371324814,61.741722955270234,117.7232054287706,198.07429050143764,306.4235013382713,442.4966219884045,601.8545214539936,777.4787275238377,961.9989783752499,1149.261080788894,1334.8725227587092,1516.0560175123665,1691.2392256518451,1859.640398250789,2020.9471598613927,2175.0986659483788,2322.150161657002,2462.194478610527,2595.3197082702172,2721.588499489437,2841.0295927835723,2953.635878539226,3059.3656840921285,3158.145510584789,3249.8733561668814,3334.422292916981,3411.644253302169,3481.3741186929074,3543.4342444296053
MEX,glp1,806.160508521014,1998.5608044404362,2003.5587797238459,2035.5540954047847,2091.844350195086,2165.42008648714,2251.2912179786417,2345.8868559242474,2446.5774877638214,2551.365844245578,2658.688205348144,2767.2856573639438,2876.1192380779667,2984.312621750818,3091.1122542246703,3195.85876331052,3297.965863522146,3396.9044135861186,3492.1901435415202,3583.374083988925,3670.035050236478,3751.773745536171,3828.2081983608696,3898.970362613931,3963.703796552829,4022.0623984692465,4073.71021443927,4118.322345387165,4155.586968488227,4185.208454857508
NGA,diet,0.0,7.819458700167161,18.593837077227363,34.135992162224284,56.05550052161925,85.31940468091125,121.81487659389313,164.33480900053837,211.0497603075928,260.1164672566956,310.07268356109125,359.9441022322753,409.17327378161644,457.492619386343,504.80851585208444,551.1171955537793,596.4509943897647,640.8469422863127,684.3298444825923,726.9040215737987,768.5498910983079,809.2230892129301,848.8548470558379,887.3529747255816,924.6031864328761,960.4707125444256,994.8022480968793,1027.4283222205559,1058.1661646759821,1086.8231119946358
NGA,glp1,392.45953903609916,955.8896992032842,920.7867456407348,900.8074750345768,894.7954259568323,899.8634340252429,913.9794665902773,935.6186719319903,963.5787014205744,996.8781168972891,1034.6931021903802,1076.3152221303899,1121.122080057059,1168.5562480355911,1218.109570037359,1269.3109606369835,1321.7164980383677,1374.90108359847,1428.4512795140981,1481.9591787864847,1535.0173273639411,1587.2148194659203,1638.1347319635606,1687.3530602053215,1734.4392746649282,1778.9585454491971,1820.4755913114423,1858.5600128777405,1892.7928771539773,1922.7742412794505
NZL,diet,0.0,3.6491525168338512,8.624754095506093,15.632476850176317,25.28810652767129,37.880993728368594,53.18743943296489,70.49777936857299,88.86089057283539,107.37288436457072,125.35226799560257,142.37631484548206,158.23562748287657,172.86585860946775,186.2879471565002,198.5659294291296,209.78084060620574,220.0162375538954,229.35110823435843,237.85704845872263,245.59766991000402,252.62901316337638,259.00028037402285,264.7545412867063,269.92926900367115,274.5566776089148,278.6638951500653,282.2730335190687,285.4012244536906,288.06068631112566
NZL,glp1,40.386267490496834,105.83926850559851,109.29099123310391,112.9654535912307,117.08066521419596,121.46784317961874,125.97713330813417,130.4923452850212,134.9297283526529,139.23221697003794,143.36269002206632,147.2979879885072,151.024288909515,154.5338512494783,157.822886594314,160.89026327590545,163.73676401186117,166.36467349910959,168.7775300464874,170.97992793157675,172.97730069239924,174.77564977041231,176.38120877424808,177.80005234657654,179.03767127463686,180.0985429767493,180.98572956447765,181.70053500542645,182.24224918280356,182.60800059127223
ROU,diet,0.0,104.3268331678712,211.11481870870853,355.12519913266874,543.925639666586,776.0796778179772,1038.806258701545,1312.2447477724374,1576.6339506051172,1817.7805374835493,2028.4796119719213,2207.1305252755583,2355.5837639421384,2477.351427702297,2576.4458840110933,2656.735274475501,2721.6364890613195,2774.004114375988,2816.124687535638,2849.76334149261,2876.2333345262573,2896.4723710082153,2911.117080514039,2920.5711810743687,2925.0652310278233,2924.7072825757878,2919.524602975024,2909.497137338458,2894.5836635546175,2874.7417035922267
ROU,glp1,378.3505195602829,961.1484356316528,864.5781508199518,832.3716969548127,815.0843306668548,806.4154918794688,801.488345484056,797.9430421442405,794.5076508640662,790.6154083844776,786.1257951674183,781.1402267961661,775.8713072898863,770.5545328387466,765.3934089866013,760.5302634885106,756.0357243008946,751.9107653697088,748.0963350960774,744.4867451307421,740.9440880744437,737.3118940841509,733.4269926829222,729.1291133135483,724.2681527525053,718.7092866676485,712.3362375247198,705.0530621999944,696.7848171114065,687.4774187904113
TUR,diet,0.0,52.603783367940196,114.31853003354263,202.01498028271453,322.202949235867,477.77315361287583,665.1145010645996,875.2241742072674,1097.0006466711384,1320.5909657965767,1539.027098026345,1748.252602571909,1946.403930319415,2133.00773199138,2308.3595534410415,2473.1156967001734,2628.0494175511703,2773.9148443524646,2911.3759020162543,3040.972721215545,3163.109182234719,3278.0523397111756,3385.9386556939317,3486.7843160687553,3580.4981733884415,3666.896515563749,3745.719178460695,3816.6466560851586,3879.317901114009,3933.3484996256484
TUR,glp1,799.6718862495309,2081.0110733760484,2061.0242129456437,2101.375012539622,2155.0845629324995,2219.596703223833,2290.1016888720715,2364.1427407328065,2439.9330004089297,2516.2659810004443,2592.321431457971,2667.5682927397775,2741.6807205783243,2814.471652828346,2885.837529966615,2955.7133799172334,3024.0371619557845,3090.722586319105,3155.639554167439,3218.6013404314654,3279.357636024626,3337.592599792082,3392.927131038181,3444.9246477774104,3493.09973044505,3536.929055551609,3575.8640927570596,3609.34507062806,3636.8157333191593,3657.7384177708554
USA,diet,0.0,228.39901375975026,551.2538553179329,1016.731944465937,1667.7424430840983,2527.9361533862393,3588.999291319815,4810.308030503584,6132.346001506436,7494.149007185333,8845.10163537263,10148.845113779287,11382.074434347567,12531.472631542494,13590.65764682983,14557.805516582637,15433.998078981998,16222.13651959521,16926.24083383278,17550.993596677537,18101.431849420755,18582.727212030528,19000.019382612358,19358.28411334219,19662.226266915808,19916.193881224142,20124.111878713753,20289.435193705605,20415.121319874117,20503.62201485643
USA,glp1,3050.05309444476,7892.9453549824975,8181.1223477383755,8495.067558136921,8834.076135387812,9182.008594302271,9528.459476755117,9866.21171657613,10189.981290424781,10495.833868672002,10780.871020085295,11043.03729444163,11280.989694217904,11494.001679499808,11681.885328700737,11844.921109133342,11983.788826654796,12099.49658025906,12193.307020860739,12266.661904895096,12321.106921862302,12358.219201900996,12379.539933122156,12386.51428079902,12380.440411950112,12362.428966245003,12333.3738265524,12293.93455919782,12244.530432710759,12185.345496354392
ZAF,diet,0.0,1.4898448914955222,3.5430083834553443,6.5076810598802695,10.680215408249751,16.22472673828088,23.089258794204397,31.005232168663497,39.58236842518272,48.430384575662174,57.23878882084318,65.79982869561354,73.99569009904371,81.77377858526233,89.12341327029935,96.05829067188823,102.60467589227483,108.79391868107632,114.65785964358474,120.22604790086734,125.5240617965992,130.57250427699,135.38642980124132,139.97507238443177,144.34180813223247,148.48431845800224,152.39493443748506,156.06114647517097,159.46626167651266,162.59018716913306
ZAF,glp1,195.16253132328347,516.6503852528194,534.9943590893345,551.0413540320733,567.4482438901005,584.3865005603238,601.7999722204258,619.5635693808526,637.5390274155379,655.6011730513892,673.6490296937063,691.6086610521361,709.4313992644711,727.0894175605063,744.5697950993326,761.8678476172608,778.9803125067065,795.8988615150756,812.6043202430465,829.0618854478107,845.2175458517704,860.9958306569079,876.29893388645,891.0071934326352,904.9808424229795,918.0628982096623,930.0830118177017,940.8620688205956,950.2173118784794,957.9677457744747
