sex,scenario,outcome,iso3,paf_base,paf_scen,averted_frac_alldeaths
male,feasible,CKD,BGD,0.013695479815884481,0.001409214444336393,0.012286265371548089
male,feasible,CKD,EGY,0.011112624168932439,0.004827289425826775,0.006285334743105664
male,feasible,CKD,BGR,0.09094450444770008,0.06692310532229118,0.024021399125408904
male,feasible,CKD,AUS,0.007045597322723918,0.002166853172584693,0.004878744150139225
male,feasible,CKD,USA,0.013393625573512646,0.004069350791578885,0.009324274781933761
male,feasible,CKD,ZAF,0.0006028983308736802,0.0,0.0006028983308736802
male,feasible,CKD,DEU,0.023085076069163546,0.009172615376464743,0.013912460692698803
male,feasible,CKD,GBR,0.007407950814520281,0.0012092327274758619,0.006198718087044419
male,feasible,CKD,ROU,0.09120369486335778,0.06710423627489936,0.02409945858845841
male,feasible,CKD,TUR,0.009771441824631744,0.004644756032348263,0.005126685792283481
male,feasible,CKD,BRA,0.024242392390776635,0.008851431500616846,0.015390960890159788
male,feasible,CKD,MEX,0.01814195440157418,0.004361348481215943,0.013780605920358235
male,feasible,CKD,IND,0.021869677756613637,0.009304110262872256,0.01256556749374138
male,feasible,CKD,CHN,0.08130058323037626,0.061033291107650434,0.020267292122725822
male,aspirational,IHD,AUS,0.4504616645228715,0.33977551502939723,0.11068614949347427
male,aspirational,IHD,BGD,0.5563036024215536,0.3999478187067054,0.15635578371484815
male,aspirational,IHD,BGR,0.5067898189490062,0.39331497436164087,0.11347484458736529
male,aspirational,IHD,BRA,0.42029872418429165,0.3252370487583962,0.09506167542589544
male,aspirational,IHD,CAN,0.3899486367075887,0.30723847095401946,0.08271016575356925
male,aspirational,IHD,CHN,0.45238154655050583,0.3525819827672617,0.09979956378324412
male,aspirational,IHD,DEU,0.41382509605561674,0.30918511419672046,0.10463998185889631
male,aspirational,IHD,EGY,0.4163678703472711,0.31404700763881915,0.10232086270845195
male,aspirational,IHD,GBR,0.4758246964849554,0.34901351475014414,0.12681118173481126
male,aspirational,IHD,GLB,0.47876457968269615,0.3713433654375964,0.1074212142450998
male,aspirational,IHD,IND,0.5428690585365629,0.4193709898842506,0.1234980686523123
male,aspirational,IHD,ISR,0.310498626276045,0.24504566364367728,0.06545296263236776
male,aspirational,IHD,JPN,0.43767054089445034,0.323109210065552,0.11456133082889833
male,aspirational,IHD,MEX,0.4313053245308271,0.3425645623231828,0.08874076220764432
male,aspirational,IHD,NGA,0.381591087905692,0.30681957803943805,0.07477150986625394
male,aspirational,IHD,NZL,0.43649019469574163,0.3292887529257598,0.1072014417699818
male,aspirational,IHD,ROU,0.5228917243933635,0.39769160206287835,0.12520012233048516
male,aspirational,IHD,TUR,0.28903067495736695,0.23437879756025973,0.0546518773971072
male,aspirational,IHD,USA,0.41029194863902935,0.3178484474500279,0.09244350118900145
male,aspirational,IHD,ZAF,0.49196452572082444,0.352829015214981,0.13913551050584344
male,aspirational,T2D,AUS,0.36466997499334075,0.2635628743366105,0.10110710065673027
male,aspirational,T2D,BGD,0.2889451225731197,0.11998727172597416,0.16895785084714557
male,aspirational,T2D,BGR,0.2941101402358065,0.23069472045737902,0.06341541977842749
male,aspirational,T2D,BRA,0.2312157696059605,0.1675679765000931,0.06364779310586739
male,aspirational,T2D,CAN,0.3288875081657465,0.26558019948734085,0.06330730867840566
male,aspirational,T2D,CHN,0.2240341366375308,0.14503804094607836,0.07899609569145243
male,aspirational,T2D,DEU,0.3507082252201217,0.2881212964762856,0.0625869287438361
male,aspirational,T2D,EGY,0.11610794874563297,0.09336014661943434,0.022747802126198632
male,aspirational,T2D,GBR,0.35727464621660215,0.28157860707578386,0.07569603914081828
male,aspirational,T2D,GLB,0.22097006043489614,0.16246509610583074,0.0585049643290654
male,aspirational,T2D,IND,0.178885513310306,0.10977582207911667,0.06910969123118933
male,aspirational,T2D,ISR,0.26680544392053535,0.21230272282753135,0.054502721093003983
male,aspirational,T2D,JPN,0.32150296841689047,0.22765917029036084,0.09384379812652963
male,aspirational,T2D,MEX,0.254664633054482,0.21725893286364303,0.03740570019083899
male,aspirational,T2D,NGA,0.14120814674147192,0.09928352536091864,0.04192462138055329
male,aspirational,T2D,NZL,0.33240073808654547,0.2471477774763506,0.08525296061019487
male,aspirational,T2D,ROU,0.29505807653501587,0.24525104484705484,0.049807031687961
male,aspirational,T2D,TUR,0.14464063091246188,0.1145000633417028,0.03014056757075908
male,aspirational,T2D,USA,0.41472027079556245,0.3460704754412126,0.06864979535434987
male,aspirational,T2D,ZAF,0.2480643452965826,0.16611844039932572,0.08194590489725688
male,aspirational,IschStroke,AUS,0.09130194255776819,0.05955709439210002,0.03174484816566818
male,aspirational,IschStroke,BGD,0.22717918837395304,0.12439339446136852,0.10278579391258452
male,aspirational,IschStroke,BGR,0.24244741579920853,0.18774914393325126,0.054698271865957285
male,aspirational,IschStroke,BRA,0.16770562403054673,0.11749298394001606,0.05021264009053068
male,aspirational,IschStroke,CAN,0.11745040113418032,0.08465785695893456,0.03279254417524576
male,aspirational,IschStroke,CHN,0.2555387298208225,0.19941961254323792,0.05611911727758455
male,aspirational,IschStroke,DEU,0.1307670038072804,0.09465506556673606,0.036111938240544345
male,aspirational,IschStroke,EGY,0.0629042345673888,0.05219653159229621,0.0107077029750926
male,aspirational,IschStroke,GBR,0.10351783238753835,0.06937067365281871,0.03414715873471964
male,aspirational,IschStroke,GLB,0.196834477781792,0.14716181322036753,0.04967266456142447
male,aspirational,IschStroke,IND,0.22547769743915574,0.12286360086071677,0.10261409657843898
male,aspirational,IschStroke,ISR,0.09237694651636724,0.06788764063812777,0.02448930587823947
male,aspirational,IschStroke,JPN,0.1407568418683888,0.09421276361872713,0.04654407824966167
male,aspirational,IschStroke,MEX,0.12733398946276425,0.09712470430917444,0.030209285153589813
male,aspirational,IschStroke,NGA,0.1094488440799445,0.07163721342493352,0.03781163065501098
male,aspirational,IschStroke,NZL,0.10174917057320837,0.0688983233236363,0.03285084724957208
male,aspirational,IschStroke,ROU,0.24340068824382902,0.19556025865848967,0.04784042958533935
male,aspirational,IschStroke,TUR,0.0696840060680987,0.05299210275181827,0.016691903316280426
male,aspirational,IschStroke,USA,0.13335521507056575,0.09465855631412871,0.038696658756437026
male,aspirational,IschStroke,ZAF,0.14646534604519532,0.0714415411618876,0.0750238048833077
male,aspirational,CKD,NZL,0.008878354396273713,0.007128031489321396,0.0017503229069523174
male,aspirational,CKD,JPN,0.03356122863457245,0.027064835787142916,0.006496392847429533
male,aspirational,CKD,ISR,0.017230110914442376,0.013869421141898708,0.003360689772543668
male,aspirational,CKD,GLB,0.0375707022532894,0.030361635721501745,0.007209066531787656
male,aspirational,CKD,NGA,0.0,0.0,0.0
male,aspirational,CKD,CAN,0.019858243129001862,0.016063266578365987,0.0037949765506358757
male,aspirational,CKD,BGD,0.013695479815884481,0.011011083117202669,0.0026843966986818124
male,aspirational,CKD,EGY,0.011112624168932439,0.008958951675744786,0.0021536724931876527
male,aspirational,CKD,BGR,0.09094450444770008,0.07400165494545796,0.01694284950224212
male,aspirational,CKD,AUS,0.007045597322723918,0.005675648274645173,0.0013699490480787446
male,aspirational,CKD,USA,0.013393625573512646,0.010795853868458938,0.0025977717050537086
male,aspirational,CKD,ZAF,0.0006028983308736802,0.0004834521679744075,0.00011944616289927268
male,aspirational,CKD,DEU,0.023085076069163546,0.018606266477748545,0.004478809591415001
male,aspirational,CKD,GBR,0.007407950814520281,0.00594868471396981,0.0014592661005504715
male,aspirational,CKD,ROU,0.09120369486335778,0.07418691869614902,0.017016776167208758
male,aspirational,CKD,TUR,0.009771441824631744,0.007875831448045156,0.0018956103765865873
male,aspirational,CKD,BRA,0.024242392390776635,0.019502016308607595,0.00474037608216904
male,aspirational,CKD,MEX,0.01814195440157418,0.014581267488412042,0.0035606869131621366
male,aspirational,CKD,IND,0.021869677756613637,0.01766156147084119,0.004208116285772445
male,aspirational,CKD,CHN,0.08130058323037626,0.06708175849966547,0.014218824730710788
male,single_v01,IHD,AUS,0.4504616645228715,0.43867714645894024,0.011784518063931278
male,single_v01,IHD,BGD,0.5563036024215536,0.5401691536818857,0.01613444873966798
male,single_v01,IHD,BGR,0.5067898189490062,0.49330427175597147,0.013485547193034672
male,single_v01,IHD,BRA,0.42029872418429165,0.4127340049118647,0.007564719272426974
male,single_v01,IHD,CAN,0.3899486367075887,0.3828146872892032,0.007133949418385535
male,single_v01,IHD,CHN,0.45238154655050583,0.43585375261474507,0.016527793935760735
male,single_v01,IHD,DEU,0.41382509605561674,0.40592113642767497,0.007903959627941761
male,single_v01,IHD,EGY,0.4163678703472711,0.40983706425523886,0.00653080609203224
male,single_v01,IHD,GBR,0.4758246964849554,0.46351384621182656,0.012310850273128855
male,single_v01,IHD,GLB,0.47876457968269615,0.4617087481153521,0.017055831567344037
male,single_v01,IHD,IND,0.5428690585365629,0.5133166687529713,0.029552389783591516
male,single_v01,IHD,ISR,0.310498626276045,0.3061561308180472,0.0043424954579978125
male,single_v01,IHD,JPN,0.43767054089445034,0.4211629929815951,0.016507547912855195
male,single_v01,IHD,MEX,0.4313053245308271,0.4236960167419476,0.007609307788879492
male,single_v01,IHD,NGA,0.381591087905692,0.3600345141096352,0.021556573796056775
